Chemical Name,Chemical ID
Tert-butylhydroquinone,CID00001
Plumbagin,CID00002
Usnic-acid,CID00006
Pyrvinium,CID00007
Pmsf,CID00009
No-asa,CID00011
M-344,CID00012
Ionomycin,CID00013
Hydroxychloroquine,CID00015
Harmine,CID00016
Fh-535,CID00018
Carnosol,CID00019
Abc-294640,CID00020
Way-100635,CID00021
Ggti-298,CID00024
Farnesylpyrophosphate,CID00026
Oxidopamine,CID00027
Alpha-methylserotonin,CID00030
Sk-383933,CID00031
Mk-801,CID00032
"(+/-)-7-hydroxy-2-(n,n-di-n-propylamino)tetralin",CID00033
Sr-48692,CID00036
Sr-12813,CID00039
Sib-1553a,CID00044
Oxyphenbutazone,CID00046
Ciproxifan,CID00052
Alendronic-acid,CID00055
Ym-09151-2,CID00056
Octopamine,CID00057
Dizocilpine,CID00058
Hdac3-selective,CID00059
A-23187,CID00060
Tetrachloroethylene,CID00061
Alpha-estradiol,CID00062
Monoethylhexylphthalate,CID00063
Zearalenone,CID00064
Silibinin,CID00065
Methoxychlor,CID00066
Bisphenol-a,CID00067
Tributyltin,CID00068
Kepone,CID00069
Pyridine-2-aldoxime,CID00072
Prilocaine,CID00073
Benzatropine,CID00075
Niflumic-acid,CID00076
Cobalt(ii)-chloride,CID00078
Iodoacetic-acid,CID00079
Abiraterone,CID00080
Nch-51,CID00081
Tbep,CID00082
Ly-2140023,CID00083
Erbstatin-analog,CID00084
Tienilic-acid,CID00085
Genipin,CID00086
Tubacin,CID00087
Prostratin,CID00088
Tubastatin-a,CID00089
Cs-110266,CID00090
Bicuculline,CID00091
Acamprosate,CID00092
Mpep,CID00093
"1,2,3,4,5,6-hexabromocyclohexane",CID00094
3-matida,CID00096
3-methyl-gaba,CID00097
Dihydroxyphenylglycine,CID00098
Oleoylethanolamide,CID00100
Wz-3146,CID00101
Reversine,CID00102
Pirarubicin,CID00103
Pu-h71,CID00104
Mirin,CID00105
K-858,CID00107
Hc-toxin,CID00108
Gr-235,CID00109
Epoxycholesterol,CID00110
Hydroxycholesterol,CID00111
Gsk-0660,CID00113
Acetyl-farnesyl-cysteine,CID00114
Eicosatetraynoic-acid,CID00115
Ei-346-erlotinib-analog,CID00116
Terreic-acid-(-),CID00117
Ei-273,CID00118
Ei-247,CID00119
Lavendustin-c,CID00120
Ei-231,CID00121
Dexketoprofen,CID00122
H-7,CID00123
Ellipticine,CID00124
Cgp-52411,CID00125
Cyclazosin,CID00126
Androstanol,CID00127
Androstenol,CID00128
Bl-077,CID00129
Lithocholic-acid,CID00130
Tcpobop,CID00131
Chenodeoxycholic-acid,CID00132
Bci-hydrochloride,CID00133
Bi-78d3,CID00134
Tyrphostin-ag-1295,CID00135
Apha-compound-8,CID00136
"7,8-dihydro-l-biopterin",CID00137
Ochratoxin-a,CID00138
Calmidazolium,CID00139
Hnha,CID00140
Zg-10,CID00141
A-443644,CID00142
Lypressin,CID00143
As-604850,CID00146
Somatostatin,CID00147
Zibotentan,CID00148
On-01910,CID00149
Ki-16425,CID00150
Sns-314,CID00151
Ha-14-1,CID00152
Buthionine-sulfoximine,CID00153
Gant-61,CID00154
Apicidin,CID00155
Pyroxamide,CID00156
Thiostrepton,CID00157
Pd-168077,CID00158
6-aminochrysene,CID00159
Cay-10415,CID00160
Wt-171,CID00161
Qw-bi-011,CID00162
Givinostat,CID00164
Latrunculin-b,CID00165
Propylpyrazole,CID00166
Cay-10470,CID00167
Hu-211,CID00168
Vindesine,CID00169
Zeranol,CID00170
Tfmpp,CID00171
Salbutamol,CID00172
Nelfinavir,CID00173
Carmofur,CID00174
Af-dx-116,CID00175
Ipidacrine,CID00176
Dextrorphan,CID00177
Taxifolin,CID00179
Rufloxacin,CID00180
Roxatidine-acetate,CID00181
Parecoxib,CID00182
Oligomycin-c,CID00183
Hexamethylenebisacetamide,CID00184
Lofepramine,CID00185
Isoquercetin,CID00186
Indatraline,CID00187
Halometasone,CID00188
Flurbiprofen-(+/-),CID00189
Diphenoxylate,CID00190
Dichloroacetic-acid,CID00191
Dexbrompheniramine,CID00192
Cycloserine-(d),CID00193
Benidipine,CID00194
Alosetron,CID00195
5-fp,CID00196
Cotinine,CID00197
Secoisolariciresinol,CID00201
Medroxyprogesterone,CID00202
Goserelin,CID00203
Beclometasone,CID00204
5-nonyloxytryptamine,CID00208
2-(biphenyl-4-ylsulfonamido)pentanedioic-acid,CID00209
Sal-1,CID00210
Ku-c103428n,CID00211
10h-phenothiazin-10-yl)(p-tolyl)methanone,CID00212
Akt-inhibitor-iv,CID00213
Arachidonyl-trifluoro-methane,CID00214
Endo-iwr-1,CID00215
Qs-11,CID00216
Nu-1025,CID00217
Sonidegib,CID00218
Jzl-184,CID00219
Hli-373,CID00220
Gant-58,CID00221
Dg-041,CID00222
Bibr-1532,CID00223
Rs-23597-190,CID00224
Oligomycin-a,CID00225
Phorbol-12-myristate-13-acetate,CID00226
Nfkb-activation-inhibitor-ii,CID00227
15-delta-prostaglandin-j2,CID00228
Chaetocin,CID00229
Yk-4279,CID00230
Ver-155008,CID00231
Uk-356618,CID00232
