,drug,class
0,pubchem.compound:16043,[]
1,pubchem.compound:10205,[]
2,pubchem.compound:5646,[]
3,pubchem.compound:5281035,[]
4,pubchem.compound:4784,[]
5,pubchem.compound:119032,[]
6,pubchem.compound:3994,[]
7,pubchem.compound:6912226,[]
8,pubchem.compound:3652,[]
9,pubchem.compound:5280953,[]
10,pubchem.compound:3463933,[]
11,pubchem.compound:442009,[]
12,pubchem.compound:15604015,[2]
13,pubchem.compound:5684,[8]
14,pubchem.compound:9811606,[]
15,pubchem.compound:445713,[11]
16,pubchem.compound:4624,[]
17,pubchem.compound:2107,[]
18,pubchem.compound:1242,[13]
19,pubchem.compound:180081,[8]
20,pubchem.compound:1219,[]
21,pubchem.compound:119192,[13]
22,pubchem.compound:446313,[11]
23,pubchem.compound:9881989,[]
24,pubchem.compound:4641,[15]
25,pubchem.compound:6422124,[]
26,pubchem.compound:2088,[15]
27,pubchem.compound:4452,[]
28,pubchem.compound:4581,[13]
29,None,[]
30,pubchem.compound:11957499,[]
31,pubchem.compound:31373,[]
32,pubchem.compound:68570,[8]
33,pubchem.compound:20393,[]
34,pubchem.compound:5281576,[]
35,pubchem.compound:31553,[13]
36,pubchem.compound:4115,[]
37,pubchem.compound:6623,[]
38,pubchem.compound:3032732,[]
39,pubchem.compound:299,[]
40,pubchem.compound:135423666,[]
41,pubchem.compound:4906,[]
42,pubchem.compound:1201549,[8]
43,pubchem.compound:4488,[15]
44,pubchem.compound:24288,[]
45,pubchem.compound:5240,[]
46,pubchem.compound:132971,[2]
47,pubchem.compound:11395181,[]
48,pubchem.compound:6540,[]
49,pubchem.compound:25195354,[]
50,pubchem.compound:5353609,[]
51,pubchem.compound:38409,[11]
52,pubchem.compound:442424,[]
53,pubchem.compound:6675804,[2]
54,pubchem.compound:454217,[]
55,pubchem.compound:49850262,[]
56,pubchem.compound:123692,[]
57,pubchem.compound:10237,[]
58,pubchem.compound:71158,[8]
59,pubchem.compound:3025961,[]
60,pubchem.compound:74603,[2]
61,pubchem.compound:10398360,[]
62,pubchem.compound:57369841,[]
63,pubchem.compound:5283454,[]
64,pubchem.compound:44607360,[2]
65,pubchem.compound:210332,[]
66,pubchem.compound:11296583,[]
67,pubchem.compound:9549213,[2]
68,pubchem.compound:137319711,[]
69,pubchem.compound:2930014,[]
70,pubchem.compound:13889849,[]
71,pubchem.compound:146898,[]
72,pubchem.compound:227037,[]
73,pubchem.compound:46233311,[]
74,pubchem.compound:6438381,[]
75,pubchem.compound:155903758,[]
76,pubchem.compound:3896,[]
77,pubchem.compound:667550,[]
78,pubchem.compound:3542,[]
79,pubchem.compound:3213,[]
80,pubchem.compound:1697,[2]
81,pubchem.compound:132266,[]
82,pubchem.compound:92877,[]
83,pubchem.compound:101989,[]
84,pubchem.compound:9903,[2]
85,pubchem.compound:5382,[]
86,pubchem.compound:10133,[13]
87,pubchem.compound:69670465,[]
88,pubchem.compound:2747117,[]
89,pubchem.compound:135398687,[]
90,pubchem.compound:12313658,[]
91,pubchem.compound:2531,[8]
92,pubchem.compound:16126782,[]
93,pubchem.compound:57340680,[]
94,pubchem.compound:644076,[]
95,pubchem.compound:5287855,[]
96,pubchem.compound:16129706,[]
97,pubchem.compound:9910224,[2]
98,pubchem.compound:23696523,[]
99,pubchem.compound:10367662,[]
100,pubchem.compound:24995524,[2]
101,pubchem.compound:3549,[]
102,pubchem.compound:119565,[]
103,pubchem.compound:421610,[]
104,pubchem.compound:6918328,[2]
105,pubchem.compound:4996,[2]
106,pubchem.compound:16129666,[]
107,pubchem.compound:3645619,[]
108,pubchem.compound:17534,[]
109,pubchem.compound:10429242,[]
110,pubchem.compound:9804992,[]
111,pubchem.compound:6436219,[9]
112,pubchem.compound:201990,[]
113,pubchem.compound:107778,[]
114,pubchem.compound:40839,[2]
115,pubchem.compound:2999413,[]
116,pubchem.compound:4296,[]
117,pubchem.compound:2083,[12]
118,pubchem.compound:64143,[]
119,pubchem.compound:2577,[2]
120,pubchem.compound:107867,[11]
121,pubchem.compound:604519,[]
122,pubchem.compound:5360697,[]
123,pubchem.compound:439533,[]
124,pubchem.compound:58258,[]
125,pubchem.compound:5105,[]
126,pubchem.compound:119828,[]
127,pubchem.compound:5281901,[]
128,pubchem.compound:3616,[]
129,pubchem.compound:3947,[8]
130,pubchem.compound:5280804,[13]
131,pubchem.compound:126280,[]
132,pubchem.compound:9846332,[]
133,pubchem.compound:92337,[]
134,pubchem.compound:13505,[]
135,pubchem.compound:6597,[]
136,pubchem.compound:16960,[12]
137,pubchem.compound:6234,[8]
138,pubchem.compound:656668,[]
139,pubchem.compound:2099,[13]
140,pubchem.compound:101498,[2]
141,pubchem.compound:854019,[]
142,pubchem.compound:65373,[]
143,pubchem.compound:10631,[2]
144,pubchem.compound:5311128,[2]
145,pubchem.compound:20469,[12]
146,pubchem.compound:1797,[]
147,pubchem.compound:5719375,[]
148,pubchem.compound:44483163,[]
149,pubchem.compound:66890843,[]
150,pubchem.compound:135398517,[]
151,pubchem.compound:24775005,[2]
152,pubchem.compound:25021165,[]
153,pubchem.compound:135403620,[]
154,pubchem.compound:253078,[]
155,pubchem.compound:11296282,[11]
156,pubchem.compound:9927531,[]
157,pubchem.compound:182593,[]
158,pubchem.compound:52947716,[]
159,pubchem.compound:27924,[2]
160,pubchem.compound:16760588,[]
161,pubchem.compound:11657687,[]
162,pubchem.compound:25195348,[]
163,pubchem.compound:10370504,[]
164,pubchem.compound:9576787,[]
165,pubchem.compound:16725315,[]
166,pubchem.compound:9886086,[]
167,pubchem.compound:26596,[]
168,pubchem.compound:67535,[]
169,pubchem.compound:4858,[]
170,pubchem.compound:25154868,[]
171,pubchem.compound:72376,[2]
172,pubchem.compound:4139,[]
173,pubchem.compound:5132514,[]
174,pubchem.compound:16736978,[]
175,pubchem.compound:11964036,[]
176,pubchem.compound:6918540,[]
177,pubchem.compound:442042,[]
178,pubchem.compound:24951314,[]
179,pubchem.compound:442088,[]
180,pubchem.compound:3129,[]
181,pubchem.compound:10687292,[]
182,pubchem.compound:5311218,[]
183,pubchem.compound:24785538,[]
184,pubchem.compound:9840076,[2]
185,pubchem.compound:3035714,[2]
186,pubchem.compound:1889993,[]
187,pubchem.compound:1714884,[]
188,pubchem.compound:10322450,[]
189,pubchem.compound:135411,[]
190,pubchem.compound:4788,[]
191,pubchem.compound:135418940,[]
192,pubchem.compound:981054,[]
193,pubchem.compound:6604934,[]
194,pubchem.compound:21100,[]
195,pubchem.compound:114829,[]
196,pubchem.compound:667530,[]
197,pubchem.compound:6708643,[]
198,pubchem.compound:25183872,[2]
199,pubchem.compound:5311365,[]
200,pubchem.compound:3086618,[]
201,pubchem.compound:108182,[]
202,pubchem.compound:3797,[]
203,pubchem.compound:6604933,[]
204,pubchem.compound:3906894,[]
205,pubchem.compound:5537,[]
206,pubchem.compound:181380,[]
207,pubchem.compound:68870,[8]
208,pubchem.compound:1048845,[]
209,pubchem.compound:9885087,[]
210,pubchem.compound:1474853,[]
211,pubchem.compound:5269,[]
212,pubchem.compound:5268,[]
213,pubchem.compound:6437074,[]
214,pubchem.compound:1243,[]
215,pubchem.compound:14973220,[]
216,pubchem.compound:4336830,[]
217,pubchem.compound:3248571,[]
218,pubchem.compound:5163,[]
219,pubchem.compound:3272300,[]
220,pubchem.compound:131906,[8]
221,pubchem.compound:824226,[]
222,pubchem.compound:6604887,[]
223,pubchem.compound:5281743,[]
224,pubchem.compound:5053,[]
225,pubchem.compound:108094,[]
226,pubchem.compound:3034004,[]
227,pubchem.compound:9908992,[]
228,pubchem.compound:10000456,[]
229,pubchem.compound:6603129,[]
230,pubchem.compound:7028,[]
231,pubchem.compound:3012,[]
232,pubchem.compound:448991,[13]
233,pubchem.compound:456214,[]
234,pubchem.compound:4970,[]
235,pubchem.compound:68802,[]
236,pubchem.compound:5478883,[]
237,pubchem.compound:105008,[]
238,pubchem.compound:11689583,[]
239,pubchem.compound:5311479,[]
240,pubchem.compound:5281718,[]
241,pubchem.compound:135403792,[]
242,pubchem.compound:5866327,[]
243,pubchem.compound:4707,[]
244,pubchem.compound:4631,[11]
245,pubchem.compound:4630,[]
246,pubchem.compound:442428,[]
247,pubchem.compound:5013,[]
248,pubchem.compound:108047,[]
249,pubchem.compound:107992,[]
250,pubchem.compound:71781,[8]
251,pubchem.compound:6610310,[]
252,pubchem.compound:5311097,[]
253,pubchem.compound:73157,[]
254,pubchem.compound:5280450,[]
255,pubchem.compound:461776,[]
256,pubchem.compound:6917970,[]
257,pubchem.compound:133008,[]
258,pubchem.compound:5311203,[]
259,pubchem.compound:5311276,[13]
260,pubchem.compound:11317348,[]
261,pubchem.compound:56971,[8]
262,pubchem.compound:5484725,[]
263,pubchem.compound:3683,[]
264,pubchem.compound:441860,[]
265,pubchem.compound:5744,[]
266,pubchem.compound:124846,[]
267,pubchem.compound:3610,[]
268,pubchem.compound:3035026,[]
269,pubchem.compound:5390854,[]
270,pubchem.compound:4302960,[]
271,pubchem.compound:9826034,[13]
272,pubchem.compound:91488,[]
273,pubchem.compound:3995234,[]
