protein,pearson_correlation,protein_uniprot
AAAS,,Q9NRG9
AADAC,,P22760
AADACL2,,Q6P093
AADAT,,Q8N5Z0
AASS,,Q9UDR5
AATF,,Q9NY61
ABAT,,P80404
ABCA1,,O95477
ABCB1,,P08183
ABCB11,,O95342
ABCB4,,P21439
ABCB6,,Q9NP58
ABCB7,,O75027
ABCC1,,P33527
ABCC10,,Q5T3U5
ABCC11,,Q96J66
ABCC2,,Q92887
ABCC3,,O15438
ABCC4,,O15439
ABCC5,,O15440
ABCC6,,O95255
ABCC8,,Q09428
ABCC9,,O60706
ABCG1,,P45844
ABCG2,,Q9UNQ0
ABHD10,,Q9NUJ1
ABHD11,,Q8NFV4
ABHD12,,Q8N2K0
ABHD14A,,Q9BUJ0
ABHD14B,,Q96IU4
ABHD16A,,O95870
ABHD4,,Q8TB40
ABHD5,,Q8WTS1
ABHD6,,Q9BV23
ABL1,0.008883491101895144,P00519
ABL2,,P42684
ABRA,,Q8N0Z2
ABT1,,Q9ULW3
ACAA1,,P09110
ACAA2,,P42765
ACACA,,Q13085
ACACB,,O00763
ACADM,,P11310
ACADSB,,P45954
ACADVL,,P49748
ACAN,,P16112
ACAT1,,P24752
ACCS,,Q96QU6
ACCSL,,Q4AC99
ACE,,P12821
ACE2,,Q9BYF1
ACHE,,P22303
ACKR3,,P25106
ACLY,,P53396
ACMSD,,Q8TDX5
ACO1,,P21399
ACO2,,Q99798
ACOX1,,Q15067
ACP1,,P24666
ACP5,,P13686
ACR,,P10323
ACSL1,,P33121
ACSL3,,O95573
ACSL4,,O60488
ACSM1,,Q08AH1
ACSS1,,Q9NUB1
ACSS2,,Q9NR19
ACTA1,,P68133
ACTA2,,P62736
ACTB,,P60709
ACTBL2,,Q562R1
ACTC1,,P68032
ACTG2,,P63267
ACTL10,,Q5JWF8
ACTL6A,,O96019
ACTL6B,,O94805
ACTL7A,,Q9Y615
ACTL7B,,Q9Y614
ACTL8,,Q9H568
ACTL9,,Q8TC94
ACTR10,,Q9NZ32
ACTR1A,,P61163
ACTR1B,,P42025
ACTR2,,P61160
ACTR3,,P61158
ACTR3B,,Q9P1U1
ACTR3C,,Q9C0K3
ACTR8,,Q9H981
ACTRT1,,Q8TDG2
ACTRT2,,Q8TDY3
ACTRT3,,Q9BYD9
ACVR1,,Q04771
ACVR1B,,P36896
ACVR1C,,Q8NER5
ACVRL1,,P37023
ACY1,,Q03154
ACY3,,Q96HD9
ADA,,P00813
ADA2,,Q9NZK5
ADAL,,Q6DHV7
ADAM10,,O14672
ADAM17,,P78536
ADAM28,,Q9UKQ2
ADAM33,,Q9BZ11
ADAMTS4,,O75173
