Entry,Status,Protein names,Interacts with,Organism,Mass,EC number
Q9NRG9,reviewed,Aladin (Adracalin),,Homo sapiens (Human),"59,574",
P22760,reviewed,Arylacetamide deacetylase (EC 3.1.1.3),Q92624,Homo sapiens (Human),"45,734",3.1.1.3
Q6P093,reviewed,Arylacetamide deacetylase-like 2 (EC 3.1.1.-),,Homo sapiens (Human),"46,099",3.1.1.-
Q8N5Z0,reviewed,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (KAT/AadAT) (2-aminoadipate aminotransferase) (2-aminoadipate transaminase) (EC 2.6.1.39) (Alpha-aminoadipate aminotransferase) (AadAT) (Glycine transaminase AADAT) (EC 2.6.1.4) (Kynurenine aminotransferase II) (Kynurenine--glyoxylate transaminase AADAT) (EC 2.6.1.63) (Kynurenine--oxoglutarate aminotransferase II) (Kynurenine--oxoglutarate transaminase 2) (EC 2.6.1.7) (Kynurenine--oxoglutarate transaminase II) (Methionine--glyoxylate transaminase AADAT) (EC 2.6.1.73)",,Homo sapiens (Human),"47,352",2.6.1.39; 2.6.1.4; 2.6.1.63; 2.6.1.7; 2.6.1.73
Q9UDR5,reviewed,"Alpha-aminoadipic semialdehyde synthase, mitochondrial (LKR/SDH) [Includes: Lysine ketoglutarate reductase (LKR) (LOR) (EC 1.5.1.8); Saccharopine dehydrogenase (SDH) (EC 1.5.1.9)]",,Homo sapiens (Human),"102,132",1.5.1.8; 1.5.1.9
Q9NY61,reviewed,Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1),P05067; Q13315; O96017; Q92830; Q8NEH6; Q8NEJ9; P27986-2; P63000; Q04206; P08047; O75478; Q86TJ2; O75528; Q6ZWQ9,Homo sapiens (Human),"63,133",
P80404,reviewed,"4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)",,Homo sapiens (Human),"56,439",2.6.1.19; 2.6.1.22
O95477,reviewed,Phospholipid-transporting ATPase ABCA1 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 1) (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein),Q86UK0; P02647; P27824; P60953; Q13424; Q13884; Q86Y82,Homo sapiens (Human),"254,302",7.6.2.1
P08183,reviewed,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243),Q86VI4; Q99496,Homo sapiens (Human),"141,479",7.6.2.2; 7.6.2.1
O95342,reviewed,Bile salt export pump (EC 7.6.2.-) (ATP-binding cassette sub-family B member 11),Q96D03,Homo sapiens (Human),"146,407",7.6.2.-
P21439,reviewed,Phosphatidylcholine translocator ABCB4 (EC 7.6.2.1) (ATP-binding cassette sub-family B member 4) (Multidrug resistance protein 3) (P-glycoprotein 3),,Homo sapiens (Human),"141,523",7.6.2.1
